sample,EGFR,KRAS,TP53,BRCA1,BRCA2,ALK,PIK3CA,MAPK1,PTEN,HRAS,NRAS,AKT1,CDK4,CDK6,MYC,RET,FGFR1,FGFR2,BRAF,SMAD4,MLH1,MUTYH,TSC1,TSC2,VHL,IDH1,IDH2,SPOP,ARID1A,ATM,AXIN1,FBXW7,RAD51,RB1,ERBB2,RPS6KB1,STK11,NOTCH1,NF1,KMT2C,KMT2D,PD-0325901:MEK_IC50 (uM),RAF265:RAF_IC50 (uM),PHA-665752:c-MET_IC50 (uM),Histology,Hist Subtype1,Site Primary
MKN1_STOMACH,22.03,66.55,37.92,11.07,2.577,0.5026,9.618,12.11,5.753,18.32,29.18,59.74,70.84,23.02,6.075,0.5685,7.901,0.1195,8.213,6.35,14.78,2.866,5.956,12.7,12.09,110.5,4.647,15.9,18.75,3.367,31.36,4.252,8.008,17.66,19.3,6.349,15.14,4.058,6.327,6.642,8.485,,,,carcinoma,mixed_adenosquamous_carcinoma,STOMACH
SF268_CENTRAL_NERVOUS_SYSTEM,22.0,4.131,77.64,4.795,0.8535,0.03423,2.624,14.32,3.496,80.5,29.44,124.7,161.2,8.986,31.63,0.01291,44.26,0.8258,3.633,4.731,21.12,4.29,3.799,9.919,11.52,28.54,38.19,10.18,21.9,15.13,11.0,1.408,10.51,9.624,18.79,4.403,19.65,3.764,5.32,2.551,6.557,,,,,,CENTRAL_NERVOUS_SYSTEM
NCIH2126_LUNG,21.92,3.869,3.559,6.088,2.236,0.01165,5.871,15.33,7.644,7.713,10.58,57.85,26.1,2.194,22.84,0.00679,1.302,0.0163,4.78,2.771,6.7,9.749,8.029,10.88,8.713,65.68,51.04,5.63,15.72,16.14,11.78,3.062,5.178,12.32,66.43,9.755,3.793,1.726,7.738,6.532,17.97,,,,carcinoma,adenocarcinoma,LUNG
CAPAN2_PANCREAS,21.77,5.341,8.727,10.66,3.686,0.02323,10.21,10.19,10.99,22.5,13.95,30.4,62.7,12.18,50.62,0.00966,1.607,0.3748,5.461,1.662,15.18,4.919,4.201,12.67,10.78,64.51,17.67,11.1,21.44,5.169,10.81,4.538,7.655,18.92,37.2,4.817,16.67,0.6169,5.243,4.493,8.615,0.07786,1.162,8.0,carcinoma,ductal_carcinoma,PANCREAS
SH10TC_STOMACH,21.73,20.36,19.89,14.04,1.684,0.01527,5.807,17.13,3.61,37.58,40.38,42.29,89.64,17.57,25.6,0.1028,50.24,0.03525,8.436,2.911,20.51,3.205,4.482,8.938,15.15,57.2,15.48,14.34,12.24,4.602,16.76,2.201,12.64,0.604,12.63,7.165,13.62,5.675,9.109,4.082,8.986,8.0,5.334,8.0,carcinoma,NS,STOMACH
KMRC2_KIDNEY,21.62,1.38,21.87,7.474,1.258,0.01248,3.583,12.09,9.657,13.35,38.82,15.57,111.8,17.48,42.04,0.00444,27.23,0.2426,1.29,7.682,10.41,3.015,3.747,3.966,0.04983,22.2,75.64,8.72,1.747,4.381,5.672,2.523,9.22,19.79,13.05,6.219,12.11,1.595,3.149,1.09,0.8278,8.0,8.0,8.0,carcinoma,clear_cell_renal_cell_carcinoma,KIDNEY
FTC133_THYROID,21.58,1.988,34.64,7.02,1.088,0.5512,3.412,12.85,2.466,15.68,25.55,87.48,87.91,20.88,21.43,0.2135,18.43,0.6153,7.842,6.276,18.32,3.373,2.799,9.683,8.749,13.19,67.42,10.31,12.75,2.629,13.13,2.502,8.634,12.58,22.18,4.336,29.0,0.4437,1.453,4.906,4.471,,,,carcinoma,follicular_carcinoma,THYROID
HEC6_ENDOMETRIUM,21.56,5.431,18.15,7.843,1.932,0.01176,10.55,20.09,3.581,23.76,54.78,47.79,114.6,18.6,62.78,0.0,36.2,3.445,8.549,7.133,3.618,3.631,6.469,14.69,28.41,20.05,25.3,16.62,22.68,3.486,26.76,6.549,9.225,7.031,21.05,22.91,21.84,8.128,10.69,6.913,13.23,8.0,8.0,8.0,carcinoma,adenocarcinoma,ENDOMETRIUM
SNU626_CENTRAL_NERVOUS_SYSTEM,21.49,3.634,31.98,7.454,1.917,0.00955,3.505,9.802,3.398,25.8,28.53,28.84,62.58,10.82,1.602,0.05229,20.78,8.01,6.222,4.86,13.8,6.572,6.068,12.01,16.9,24.55,110.5,19.14,8.751,4.48,9.386,2.096,6.923,8.995,31.26,9.84,14.64,20.32,13.18,9.051,7.485,,,,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
JMSU1_URINARY_TRACT,21.29,6.835,33.49,7.546,1.609,0.00703,6.577,15.81,10.49,18.81,47.21,49.58,110.8,11.89,107.9,0.0313,97.55,0.00338,6.238,8.85,17.69,7.748,5.335,12.34,22.81,23.62,19.17,12.53,16.69,4.502,21.55,4.496,16.21,14.0,10.13,5.595,37.78,0.4497,8.729,4.641,13.57,1.421,0.2076,8.0,carcinoma,NS,URINARY_TRACT
HCC1187_BREAST,21.26,10.33,60.47,4.097,3.445,0.00274,10.14,13.2,8.778,18.31,11.18,73.26,49.19,16.02,47.95,0.1816,17.33,3.682,8.457,14.49,7.03,4.462,6.18,10.02,29.04,65.96,84.31,7.39,26.16,1.559,20.31,3.743,5.95,2.386,52.37,5.759,22.89,41.51,5.992,8.384,12.03,8.0,7.012,8.0,carcinoma,ductal_carcinoma,BREAST
253J_URINARY_TRACT,21.24,2.463,28.04,5.32,0.9774,0.0,4.012,8.194,7.44,8.081,23.17,20.37,95.44,21.58,53.83,0.00285,11.54,4.039,3.386,4.3,14.86,3.597,4.18,13.24,8.8,24.75,39.88,7.484,8.044,3.989,13.93,1.723,3.33,6.4,10.28,5.557,16.47,3.536,4.658,2.896,7.055,,,,carcinoma,transitional_cell_carcinoma,URINARY_TRACT
HS888T_FIBROBLAST,21.21,3.988,11.8,4.335,1.439,0.01314,7.773,15.81,8.298,15.15,21.64,44.33,78.66,5.867,19.95,0.11,53.15,0.01579,4.684,5.591,17.46,2.409,7.221,12.58,7.759,40.97,20.7,11.33,13.92,5.852,6.581,2.946,4.049,12.18,13.39,5.771,15.79,3.642,6.449,3.597,9.652,,,,,,FIBROBLAST
SNUC2A_LARGE_INTESTINE,21.19,7.059,29.53,12.5,5.908,0.02087,8.846,20.57,12.69,20.58,11.09,58.82,43.23,27.02,16.65,0.1695,10.36,0.4937,8.334,9.305,7.119,5.078,10.9,13.77,21.42,32.32,17.69,15.96,28.33,4.001,19.05,4.493,13.4,13.77,80.93,12.46,19.5,5.466,10.07,7.837,13.49,8.0,8.0,8.0,carcinoma,adenocarcinoma,LARGE_INTESTINE
KG1C_CENTRAL_NERVOUS_SYSTEM,20.97,2.9,26.58,3.857,0.8971,0.02215,8.873,8.966,8.1,26.72,16.79,19.27,96.14,22.14,18.02,0.1749,27.75,0.2852,5.223,3.371,15.91,2.122,8.295,10.18,16.38,15.3,6.568,14.79,7.5,7.416,6.197,3.581,2.015,14.41,9.874,7.051,8.335,7.222,8.386,5.461,9.124,,,,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
AM38_CENTRAL_NERVOUS_SYSTEM,20.87,5.289,8.278,12.0,1.914,0.0,4.457,13.49,5.094,39.59,35.66,68.0,140.7,14.76,95.2,0.1284,11.01,0.07102,3.567,4.459,20.48,5.927,4.995,9.53,16.11,33.53,22.75,14.12,12.23,9.796,10.98,4.496,11.41,8.759,6.043,9.174,20.7,6.94,6.582,3.648,11.05,,,,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
SW1271_LUNG,20.79,4.539,54.25,11.85,4.465,0.06391,8.251,13.36,5.331,27.25,24.25,76.21,121.2,20.27,37.59,0.06578,2.009,0.0148,6.254,5.544,34.54,4.86,6.8,9.282,16.95,7.506,15.35,17.85,25.43,16.23,8.009,2.544,7.857,17.52,0.4922,8.578,17.59,2.145,9.733,3.852,14.37,0.6653,3.492,8.0,carcinoma,small_cell_carcinoma,LUNG
SNU761_LIVER,20.79,1.71,4.061,3.126,1.059,0.02455,3.589,14.75,4.749,13.76,23.27,149.6,58.52,3.897,32.2,0.0084,12.21,4.467,2.275,5.317,8.574,3.966,6.854,15.41,9.365,41.33,91.0,5.043,7.483,2.417,12.29,2.13,5.814,8.67,16.99,6.178,18.88,2.747,4.383,2.769,4.745,,,,carcinoma,hepatocellular_carcinoma,LIVER
JHOM1_OVARY,20.78,3.399,10.97,4.177,0.7153,0.03856,5.605,11.8,4.036,9.296,28.11,47.77,53.6,7.086,39.23,0.05317,32.42,2.377,3.928,7.758,12.68,2.863,4.833,13.46,16.43,36.26,47.81,12.84,12.02,23.71,6.767,2.329,3.807,12.56,19.2,6.483,10.07,1.582,10.97,5.931,10.81,,,,carcinoma,adenocarcinoma,OVARY
HARA_LUNG,20.72,5.73,26.99,18.16,3.414,0.02065,10.81,21.27,12.57,33.61,31.52,56.9,108.0,18.22,27.2,0.1416,1.497,2.56,7.075,2.433,17.86,7.382,4.484,10.05,10.92,50.71,8.907,11.91,12.56,8.862,12.39,5.946,16.37,18.35,15.49,11.59,19.58,3.194,13.42,5.344,8.248,5.793,2.832,8.0,carcinoma,squamous_cell_carcinoma,LUNG
CORL23_LUNG,20.64,59.25,49.47,5.799,2.101,0.04529,8.505,10.45,5.721,8.32,20.56,31.47,107.6,14.79,540.9,0.03057,10.0,0.01949,8.907,4.923,9.636,7.281,3.486,9.251,11.7,24.48,5.881,14.97,9.499,7.128,24.15,4.15,6.543,10.36,17.92,8.056,16.48,3.976,6.158,2.432,5.538,8.0,6.442,8.0,carcinoma,large_cell_carcinoma,LUNG
TE10_OESOPHAGUS,20.41,2.327,19.58,6.548,1.261,0.01203,12.54,14.24,8.095,25.26,16.6,94.42,64.05,10.73,33.81,0.03374,1.497,8.722,2.025,4.815,14.77,14.13,2.123,10.4,5.959,36.93,19.0,7.31,17.4,1.868,16.64,3.062,13.9,8.326,12.28,4.811,17.08,3.742,5.513,4.17,5.816,,,,carcinoma,squamous_cell_carcinoma,OESOPHAGUS
NCIH1755_LUNG,20.38,7.552,10.52,15.35,3.271,0.00903,5.139,31.92,14.43,16.74,26.21,47.22,77.49,13.67,26.34,7.069,5.692,0.02498,6.222,7.245,14.59,8.224,4.89,16.1,14.35,91.5,15.85,9.057,21.19,6.254,20.36,3.626,7.002,13.53,1.077,8.216,6.567,7.011,8.933,6.152,8.767,,,,carcinoma,adenocarcinoma,LUNG
SNU423_LIVER,20.3,2.479,24.29,11.11,1.817,0.01541,4.557,13.78,6.786,35.75,28.63,29.75,77.56,13.26,35.62,0.01198,16.5,0.02426,3.859,3.599,16.16,4.067,5.641,12.39,10.28,15.34,13.67,12.75,5.608,5.339,3.274,1.603,6.769,13.45,8.559,8.938,21.01,2.781,6.821,3.97,6.827,8.0,7.459,8.0,carcinoma,hepatocellular_carcinoma,LIVER
ML1_THYROID,20.27,3.376,1.304,5.057,0.8568,0.1779,5.89,15.42,9.147,9.34,21.3,31.19,71.18,5.888,45.21,0.03872,7.771,5.948,5.955,4.128,7.883,4.097,4.426,31.59,9.053,29.88,28.56,14.26,18.54,5.243,17.06,3.413,6.612,7.039,22.27,10.51,14.41,2.651,2.374,5.245,11.88,,,,carcinoma,follicular_carcinoma,THYROID
HS172T_FIBROBLAST,20.1,5.797,8.1,6.177,2.942,0.06163,17.25,22.18,29.1,10.93,33.84,31.65,31.31,10.57,1.883,2.724,35.58,0.02486,4.792,5.648,20.07,1.154,9.539,6.059,11.95,64.44,6.08,12.53,6.282,13.27,3.025,4.876,4.164,27.82,1.261,11.85,7.276,0.6317,6.855,3.772,4.37,,,,,,FIBROBLAST
SIHA_CERVIX,20.08,4.542,27.83,4.579,1.156,0.05787,7.463,19.03,9.244,18.11,20.25,51.4,77.69,1.275,8.242,0.05196,8.783,0.05009,5.377,5.64,16.14,5.519,6.131,17.9,12.84,125.3,36.33,8.752,17.27,3.803,16.85,2.79,6.985,16.7,30.45,6.59,0.06095,6.469,8.137,5.709,9.459,,,,,,CERVIX
NCIH2110_LUNG,20.05,5.162,32.28,7.119,1.915,0.00322,6.561,13.49,8.849,21.74,24.45,38.15,64.21,1.299,32.57,0.0,1.225,0.01341,3.928,1.847,10.98,7.046,4.638,9.946,9.111,104.1,29.61,6.469,16.77,2.742,15.24,2.451,10.46,5.878,43.19,7.536,4.35,6.523,6.94,4.565,16.21,,,,carcinoma,non_small_cell_carcinoma,LUNG
CAL851_BREAST,19.92,5.767,35.91,2.353,0.9287,0.02686,9.295,11.5,4.984,14.79,24.74,24.43,39.32,4.684,28.14,0.01005,0.2607,0.2829,2.313,2.417,13.0,3.37,2.73,6.982,6.911,80.25,92.79,9.024,5.907,1.801,5.635,0.6261,9.866,7.233,25.86,6.934,7.504,2.055,4.356,1.477,2.22,0.6795,0.6507,8.0,carcinoma,NS,BREAST
HLFA_FIBROBLAST,19.87,2.776,9.095,2.026,0.7149,0.00114,7.127,14.88,6.875,21.78,19.1,41.72,45.13,9.73,12.09,0.05741,58.65,0.01429,3.797,4.354,11.05,1.993,7.655,13.47,5.919,26.26,27.6,8.574,9.542,4.752,6.33,2.381,3.176,7.876,14.68,5.316,11.15,1.942,6.703,2.862,6.956,,,,,,FIBROBLAST
U87MG_CENTRAL_NERVOUS_SYSTEM,19.82,2.337,7.003,11.07,1.543,1.326,5.814,15.94,7.302,29.5,40.9,39.27,119.7,4.806,30.52,0.01479,28.28,0.01331,4.183,5.942,17.26,4.557,8.563,5.786,12.45,51.78,16.06,10.42,10.99,3.451,5.067,3.125,7.878,7.44,1.596,5.95,13.42,3.057,5.356,6.49,8.611,6.601,3.275,8.0,glioma,astrocytoma,CENTRAL_NERVOUS_SYSTEM
NCIH2286_LUNG,19.67,6.854,1.709,11.7,2.379,0.00452,8.097,59.68,24.16,34.63,35.15,48.82,98.97,4.562,50.16,0.1269,23.15,0.04893,8.107,6.897,8.788,5.298,5.78,14.91,6.837,10.42,17.5,13.09,14.42,8.574,15.27,3.49,14.07,12.66,30.4,9.357,21.44,4.742,9.807,2.62,14.7,1.984,0.1831,8.0,carcinoma,small_cell_carcinoma,LUNG
PANC0813_PANCREAS,19.64,8.352,12.02,10.12,2.271,0.01204,8.503,23.78,6.836,24.9,17.85,30.97,76.92,11.86,32.17,0.00483,0.6999,0.1984,5.206,0.733,13.28,6.847,5.952,8.863,15.15,61.65,29.83,15.68,13.96,6.919,8.584,3.871,18.99,9.207,36.04,8.902,21.59,3.698,9.9,4.548,9.339,,,,carcinoma,ductal_carcinoma,PANCREAS
SNU46_UPPER_AERODIGESTIVE_TRACT,19.64,7.787,40.69,13.23,3.414,0.06228,9.359,31.56,5.637,29.34,19.68,57.32,77.31,6.645,47.24,0.2707,14.19,0.8319,14.19,4.845,25.61,8.469,8.552,12.0,33.72,11.92,12.16,20.79,13.16,11.97,11.48,2.417,5.498,10.81,20.73,8.84,22.49,5.473,10.08,3.389,8.182,,,,carcinoma,squamous_cell_carcinoma,UPPER_AERODIGESTIVE_TRACT
HCC515_LUNG,19.6,4.317,14.54,5.068,1.084,0.00133,4.056,48.35,7.834,8.06,39.77,48.01,73.55,7.062,48.26,0.01563,14.83,0.1636,3.034,7.441,21.58,7.829,3.257,7.445,12.5,44.29,29.34,12.51,14.44,5.289,7.736,3.42,8.39,10.25,21.18,14.47,2.797,10.22,7.651,4.332,8.097,,,,,,LUNG
HS840T_FIBROBLAST,19.43,3.536,10.24,4.473,0.986,0.05609,9.093,17.91,6.973,29.08,24.5,48.99,60.83,9.751,21.08,0.1142,51.57,0.02055,4.169,4.603,12.3,2.122,6.148,10.22,6.3,22.76,12.13,7.71,10.04,4.911,7.978,1.82,6.214,13.7,17.63,5.593,9.772,4.074,5.711,2.932,6.892,,,,,,FIBROBLAST
HS618T_FIBROBLAST,19.41,3.125,8.053,4.981,1.46,0.01189,7.887,18.45,7.825,26.39,23.05,53.25,62.54,6.504,16.72,0.06734,42.74,0.00572,4.867,4.378,14.68,2.091,6.967,12.1,7.386,30.65,19.2,8.118,10.35,5.863,7.409,2.402,7.532,11.45,12.7,5.638,10.66,4.115,7.451,3.116,7.872,,,,,,FIBROBLAST
JHOS4_OVARY,19.27,5.345,23.13,4.565,6.829,0.02966,12.67,15.97,11.58,8.531,34.55,33.51,61.95,10.46,35.45,0.4588,9.31,12.99,8.02,8.47,17.39,5.759,4.321,9.916,30.06,34.46,140.1,10.49,20.07,3.32,10.53,5.316,15.67,22.15,33.19,5.225,11.28,2.978,4.346,10.25,10.01,8.0,3.112,8.0,carcinoma,adenocarcinoma,OVARY
AU565_BREAST,19.14,4.194,14.95,2.998,1.349,0.0125,6.271,17.14,3.067,31.37,17.43,81.94,46.33,1.54,51.96,0.02065,0.09725,6.349,7.534,0.3654,17.84,2.446,3.123,15.99,9.282,75.39,84.72,4.997,19.6,3.354,17.11,2.573,15.15,7.966,1657.0,5.469,7.375,5.157,5.892,11.49,12.38,8.0,3.296,8.0,carcinoma,NS,BREAST
OELE_OVARY,18.99,3.236,24.29,11.51,3.806,0.00635,5.65,13.99,6.357,13.98,22.62,40.68,80.98,5.74,42.72,0.02309,18.13,0.4094,3.384,8.369,22.54,7.463,5.553,12.34,16.02,57.42,39.91,17.13,11.5,6.93,10.33,5.773,10.65,14.89,23.54,8.527,15.79,3.587,5.656,2.848,4.13,,,,other,immortalized_epithelial,OVARY
HCC15_LUNG,18.94,3.473,21.29,12.22,2.303,0.01176,4.862,11.28,11.51,21.76,37.06,66.06,66.75,17.76,22.82,0.1169,2.906,0.03732,3.404,3.925,14.22,2.8,6.183,11.09,18.83,46.06,19.36,11.6,15.77,11.33,11.36,1.856,14.25,1.065,6.76,9.292,9.203,2.115,6.812,5.774,10.08,8.0,5.655,8.0,carcinoma,squamous_cell_carcinoma,LUNG
T24_URINARY_TRACT,18.85,4.703,2.915,9.724,2.598,0.00372,9.613,19.51,4.4,111.5,30.0,73.94,111.9,8.112,26.63,0.3994,7.755,0.00955,3.5,5.491,14.68,6.357,5.212,12.62,10.47,30.36,17.32,16.13,19.81,8.46,15.55,2.438,12.73,20.85,18.14,7.906,18.38,5.478,7.869,3.896,12.54,8.0,0.1872,8.0,carcinoma,transitional_cell_carcinoma,URINARY_TRACT
KNS81_CENTRAL_NERVOUS_SYSTEM,18.81,3.726,32.93,6.676,1.46,0.00687,6.355,8.572,5.462,14.19,36.04,20.72,60.67,47.13,20.96,0.02204,37.98,3.551,4.957,8.426,12.54,2.597,5.068,10.99,10.95,24.38,42.5,15.02,4.948,5.303,6.649,4.444,8.882,22.95,10.76,10.95,26.02,6.926,8.415,5.395,5.825,8.0,2.72,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
GMS10_CENTRAL_NERVOUS_SYSTEM,18.79,2.708,38.03,8.064,1.196,0.03863,9.619,11.25,3.339,16.96,25.82,78.4,49.86,7.082,13.12,0.4116,42.72,0.2682,4.212,7.456,16.84,4.543,8.066,11.09,22.21,15.65,53.06,26.23,16.12,7.945,7.934,3.751,12.66,2.046,0.4481,10.32,18.18,9.134,1.825,4.792,6.37,8.0,5.228,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
HCC1937_BREAST,18.77,4.934,4.967,11.8,4.585,0.02767,8.337,16.69,0.02116,19.13,31.2,37.35,46.75,3.78,26.26,0.08873,2.714,9.517,4.348,1.527,13.42,5.629,4.622,13.67,16.33,96.77,42.73,9.709,12.12,2.766,12.56,5.915,18.71,5.776,24.84,7.472,19.51,6.927,7.253,4.833,7.502,,,,carcinoma,ductal_carcinoma,BREAST
SKRC20_KIDNEY,18.76,2.316,26.46,3.95,0.8481,0.01663,3.451,7.663,4.917,16.29,15.66,19.65,122.8,9.378,45.45,0.03556,16.13,0.1301,1.477,4.893,12.56,3.608,6.799,9.137,11.08,53.11,23.96,12.73,4.976,5.448,10.97,1.597,5.405,8.463,14.37,7.368,14.55,4.039,8.453,1.128,10.61,,,,carcinoma,renal_cell_carcinoma,KIDNEY
HS746T_STOMACH,18.72,4.987,2.713,10.6,2.856,0.413,14.3,15.74,12.13,19.01,23.6,42.8,68.26,19.29,44.21,0.01138,19.02,0.04606,6.351,8.037,23.44,4.874,9.127,11.24,12.45,15.2,8.968,28.72,8.998,11.19,5.811,4.631,8.256,15.48,9.303,14.09,15.8,4.613,10.68,5.887,9.441,2.0,3.237,8.0,carcinoma,NS,STOMACH
HCC1954_BREAST,18.66,2.695,42.76,10.58,3.329,0.03153,12.0,42.22,6.617,23.61,26.99,39.74,78.76,5.331,39.94,0.2111,0.7905,1.125,4.289,3.927,17.13,4.511,5.911,9.395,10.37,138.2,39.09,9.158,20.05,2.865,11.47,3.242,17.2,14.09,1864.0,9.8,10.68,6.258,14.39,6.117,8.497,8.0,4.06,8.0,carcinoma,ductal_carcinoma,BREAST
SF295_CENTRAL_NERVOUS_SYSTEM,18.37,4.035,22.06,20.24,2.233,0.01524,4.652,15.07,2.019,20.55,19.84,58.89,94.55,13.62,11.74,0.01003,18.85,0.01917,5.078,5.423,18.09,2.975,3.881,11.78,12.82,55.84,14.5,21.49,10.84,5.333,9.246,2.26,5.366,23.22,12.14,16.17,21.35,3.413,11.1,4.766,6.588,8.0,2.269,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
OV7_OVARY,18.32,4.473,14.66,7.582,1.588,0.00272,4.323,18.02,3.117,29.58,23.04,58.14,94.91,6.745,54.46,0.02183,11.24,0.00917,3.824,4.895,18.9,5.139,2.231,12.12,18.06,32.44,69.74,11.83,15.24,4.993,11.9,0.8168,9.949,0.5842,0.6989,5.764,22.77,1.638,6.047,2.859,7.398,,,,carcinoma,NS,OVARY
OV56_OVARY,18.23,4.903,1.939,1.711,0.693,0.00445,7.508,8.442,11.61,7.577,18.25,17.99,35.02,6.564,89.29,0.0345,21.41,0.2484,4.574,6.039,6.343,2.462,4.825,7.924,37.29,24.97,21.02,7.075,7.442,9.703,11.2,7.599,4.181,15.12,6.706,6.466,19.83,4.092,8.026,2.972,6.103,,,,carcinoma,NS,OVARY
SW900_LUNG,18.22,8.839,5.168,7.615,2.78,0.03462,5.216,9.552,2.836,12.31,17.69,50.06,76.63,10.81,16.99,0.3671,11.69,0.9084,5.882,2.163,16.87,4.895,4.595,13.32,7.717,40.82,21.38,12.06,15.59,6.093,6.893,2.898,5.998,10.63,14.07,8.069,16.26,2.145,0.5407,5.006,12.53,4.373,8.0,8.0,carcinoma,squamous_cell_carcinoma,LUNG
JHH5_LIVER,18.15,3.867,29.23,6.222,2.856,0.01006,3.747,14.4,3.74,11.49,33.95,22.78,104.7,4.989,73.89,0.00154,3.821,1.843,5.764,4.623,16.08,3.909,6.809,7.553,17.3,230.1,22.9,17.0,15.36,5.145,20.63,2.224,7.019,10.92,14.36,12.51,13.51,1.921,6.063,3.509,11.6,0.2887,2.707,8.0,carcinoma,hepatocellular_carcinoma,LIVER
SW1783_CENTRAL_NERVOUS_SYSTEM,18.08,2.699,24.41,10.4,1.193,0.35,9.927,17.47,2.643,24.01,26.02,69.5,64.25,4.759,13.0,0.01564,29.55,0.1318,6.38,5.479,16.92,4.959,3.653,8.773,12.21,17.26,50.16,16.05,11.31,4.404,9.74,2.826,4.876,1.278,20.45,9.814,12.47,6.117,7.766,5.545,6.155,,,,glioma,astrocytoma_Grade_III,CENTRAL_NERVOUS_SYSTEM
MFE319_ENDOMETRIUM,17.97,4.664,46.87,6.018,1.284,0.01207,5.889,15.22,1.995,25.01,32.08,58.99,117.9,27.34,50.54,0.9567,12.23,2.807,2.521,5.731,0.0615,4.43,4.165,5.839,25.82,30.84,29.88,11.91,25.56,1.981,18.11,2.826,13.07,19.43,37.14,5.818,22.62,9.292,7.292,4.811,13.78,2.332,,8.0,carcinoma,adenocarcinoma,ENDOMETRIUM
OVCAR8_OVARY,17.96,4.962,20.6,2.015,1.674,0.0,4.717,12.16,6.837,28.75,48.92,29.33,96.92,7.772,45.29,0.1121,39.28,0.02107,6.388,6.738,20.36,1.61,6.846,13.26,10.49,6.352,16.15,19.68,14.67,6.105,17.75,1.457,10.96,1.606,15.07,13.8,14.57,4.83,2.101,5.188,6.727,8.0,2.696,8.0,carcinoma,NS,OVARY
NCIH1793_LUNG,17.95,4.243,8.172,5.243,2.906,0.1363,5.992,15.29,8.352,12.56,21.86,35.87,108.0,11.76,51.98,0.1049,6.996,0.2275,5.652,4.11,21.99,2.63,5.667,7.299,17.01,153.7,10.45,11.67,8.18,5.944,7.029,2.663,5.559,14.35,10.98,7.731,12.98,2.564,7.663,3.597,11.22,8.0,2.84,8.0,carcinoma,non_small_cell_carcinoma,LUNG
A172_CENTRAL_NERVOUS_SYSTEM,17.93,4.682,35.77,12.83,2.001,0.04251,10.04,13.17,0.3941,18.09,36.14,30.3,75.19,29.56,10.83,0.3756,43.29,0.02725,3.817,4.694,21.84,2.323,4.417,11.94,14.18,36.19,30.91,12.08,7.757,3.332,12.17,2.154,10.19,22.42,17.73,11.07,20.41,9.457,9.535,2.943,6.465,8.0,3.651,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
NCIH727_LUNG,17.92,17.74,24.01,6.366,2.228,1.03,7.373,28.2,4.773,22.36,10.04,46.04,94.72,4.833,22.45,3.599,7.143,1.541,4.752,5.406,11.19,5.966,3.069,9.025,11.89,48.9,29.1,15.38,19.39,7.361,22.51,5.148,7.857,9.086,4.859,5.182,16.03,3.135,7.5,3.723,7.396,0.02054,8.0,8.0,carcinoid-endocrine_tumour,NS,LUNG
NCIH854_LUNG,17.84,2.515,29.74,1.754,0.632,0.0112,5.109,15.33,5.104,6.204,13.27,52.74,43.06,10.3,105.4,5.764,0.4895,0.04786,8.253,11.44,7.128,8.254,3.027,12.81,13.09,31.49,16.88,14.41,23.8,5.348,6.923,3.051,5.05,6.46,6.796,4.157,27.62,1.753,4.74,6.554,10.24,,,,carcinoma,adenocarcinoma,LUNG
G292CLONEA141B1_BONE,17.82,7.055,0.07234,16.23,3.731,2.119,9.247,14.54,10.62,21.2,53.83,57.14,1522.0,7.32,43.86,0.06451,71.43,3.044,4.166,5.675,38.63,5.164,3.362,10.92,16.62,20.82,38.19,12.94,13.51,3.388,7.362,2.608,12.85,14.75,7.048,8.171,13.43,2.144,5.82,1.848,7.02,,,,osteosarcoma,NS,BONE
CW9019_SOFT_TISSUE,17.82,3.105,35.83,9.242,1.681,0.01362,3.832,15.47,5.669,15.39,37.46,34.79,160.1,44.7,45.56,0.0,6.609,0.4137,3.285,7.653,20.58,4.294,5.264,14.4,15.66,32.69,23.41,14.36,6.04,4.53,5.314,2.462,9.027,21.86,16.06,10.66,13.91,2.014,5.567,2.173,2.555,,,,,,SOFT_TISSUE
LS123_LARGE_INTESTINE,17.79,4.845,42.7,5.28,3.501,0.02822,7.093,11.42,3.641,22.5,15.64,35.47,74.12,6.954,50.49,0.1259,6.424,0.3767,3.628,1.061,11.88,2.416,5.053,7.858,8.952,26.75,10.26,7.427,10.97,3.864,11.1,2.343,9.143,14.2,18.45,5.436,19.05,5.557,4.38,3.045,8.541,8.0,8.0,8.0,carcinoma,adenocarcinoma,LARGE_INTESTINE
SW1116_LARGE_INTESTINE,17.69,7.648,38.01,9.045,5.3,0.02554,6.319,8.05,7.303,13.08,12.57,30.99,63.66,5.1,88.47,0.05458,0.3559,1.331,5.915,0.1876,7.117,4.874,10.76,10.41,10.53,44.4,21.66,7.337,8.254,4.631,21.21,3.048,4.74,10.62,38.0,6.371,13.62,17.82,8.223,6.693,8.504,,,,carcinoma,adenocarcinoma,LARGE_INTESTINE
